City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,coquimbo,-29.9533,-71.3436,13.85,67,75,3.6,CL,1724947547
270,klaksvik,62.2266,-6.589,11.03,85,48,2.99,FO,1724947574
271,manokwari,-0.8667,134.0833,25.88,82,48,1.38,ID,1724947692
272,salekhard,66.53,66.6019,7.8,71,44,4.18,RU,1724947693
273,tucuma,-0.1833,-50.05,30.02,62,84,4.0,BR,1724947694
274,talnakh,69.4865,88.3972,12.84,92,100,4.38,RU,1724947695
275,bayanhongor,46.7167,100.1167,13.01,42,78,1.57,MN,1724947696
276,schweizer-reneke,-27.1887,25.3293,13.35,11,0,4.17,ZA,1724947698
277,laibin,23.7,109.2667,28.25,80,49,0.86,CN,1724947699
278,mahina,-17.5065,-149.489,24.87,78,20,2.57,PF,1724947700
279,saldanha,-33.0117,17.9442,11.41,58,2,7.81,ZA,1724947701
280,akureyri,65.6835,-18.0878,11.09,57,84,1.56,IS,1724947702
281,st. john's,47.5649,-52.7093,14.75,91,100,11.18,CA,1724947440
282,ketchikan,55.3422,-131.6461,12.65,94,75,2.57,US,1724947704
283,tarawa,1.419,172.984,29.05,79,40,6.17,KI,1724947705
284,egilsstadir,65.2653,-14.3948,9.17,74,99,3.06,IS,1724947706
285,nogliki,51.8333,143.1667,16.98,84,100,3.74,RU,1724947707
286,goundam,16.4145,-3.6708,35.69,33,100,3.78,ML,1724947708
287,amga,60.8953,131.9608,7.69,95,90,1.76,RU,1724947709
288,ouarzazat,30.9189,-6.8934,37.77,9,36,8.34,MA,1724947711
289,ancud,-41.8697,-73.8203,10.31,63,2,2.86,CL,1724947712
290,zhangjiakou,40.81,114.8794,20.1,68,1,1.48,CN,1724947713
291,makurazaki,31.2667,130.3167,24.68,87,93,13.01,JP,1724947714
292,susuman,62.7833,148.1667,4.5,97,100,0.82,RU,1724947715
293,ntoum,0.3833,9.7833,27.66,65,98,3.71,GA,1724947716
294,zapolyarnyy,69.4154,30.8136,14.9,63,98,3.17,RU,1724947717
295,kayangel,8.0823,134.7173,28.14,79,100,2.65,PW,1724947718
296,burao,9.5221,45.5336,28.95,41,92,8.18,SO,1724947719
297,santana,-0.0583,-51.1817,34.1,59,40,4.63,BR,1724947576
298,grande prairie,55.1667,-118.8027,18.32,50,27,6.77,CA,1724947619
299,sarikei,2.1167,111.5167,23.12,98,100,0.86,MY,1724947722
300,vorgashor,67.5833,63.95,6.93,79,100,5.91,RU,1724947723
301,ostroda,53.6967,19.9649,30.88,34,0,2.27,PL,1724947725
302,harstad,68.799,16.5293,17.56,74,100,10.73,NO,1724947726
303,lethem,3.3803,-59.7968,29.4,64,94,0.56,GY,1724947727
304,mana,5.6592,-53.7767,31.13,60,90,4.06,GF,1724947728
305,camocim,-2.9022,-40.8411,32.18,48,2,7.37,BR,1724947729
306,lengshuitan,26.4111,111.5956,24.49,82,20,1.43,CN,1724947730
307,atherton,53.5237,-2.4935,19.58,67,38,1.34,GB,1724947731
308,floro,61.5996,5.0328,13.98,88,75,4.63,NO,1724947732
309,vila velha,-20.3297,-40.2925,25.97,66,40,4.63,BR,1724947733
310,quellon,-43.1167,-73.6167,9.4,71,5,5.56,CL,1724947734
311,sao joao da barra,-21.6403,-41.0511,25.05,59,58,4.95,BR,1724947510
312,navia,43.5354,-6.7194,19.52,97,99,3.11,ES,1724947736
313,orlovskiy,46.8714,42.0592,28.97,19,0,6.26,RU,1724947739
314,gurupa,-1.405,-51.64,36.7,33,35,1.39,BR,1724947740
